reviews,target
no issue four star,2
purchased device worked advertised never much phone memory since download lot stuff no brainer moar space,2
work expected sprung higher capacity think made bit cheesier earlier version paint look not clean nothing really say,2
think worked great diff bran gb card went south month one held pretty well since note update month zero issue since transferred note note card reliable solid cheer great buy price update,2
bought retail packaging arrived legit orange envelope english version not asian like picture show arrived quickly bought retail packaging htc one sv lg optimus card working order probably best price get nice sd card best deal around,2
mini storage anything else not supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks not lot really said,2
phone never skip beat file transfer speedy not corruption issue memory fade issue would expect sandisk brand great card entrust precious file slightly cheaper piece crap lose everything forgive not spending extra couple buck trusted product go good qa work well,2
hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation ago picked portable music want schlep risk phone ipod work great sd card reader select confidence gb less two sawbuck not like,2
work htc rezound running short space gb sandisk ordered came fast no issue load room,2
galaxy super fast card totally happy not happy still type fill required word though work great,2
like sd card take music video downloads personal video file doc multimedia image fast transfer rate class speed take game large file easily still enough space apps great video camera camcorder supplied adapter fit easily smartphones tablet sd card slot recommend gb sd card everyone gb microsd card,2
work but file writes bit slower expected usb reader also read writes faster card inside standard size sd adapter mb v write mb v mb read card reader figure work but not fast expected,1
name speaks go sandisk go renound name brand,2
solid sdhc card fast reading writing fast recording video pic great capacity reasonably priced no issue overall highly recommend great sdhc card,2
heard card write speed insufficient however used extensively single problem use gopro hero black,2
bought use go pro hero black edition requires class microsdxc card far no issue fast read write came adapter small packaging but needed come nice hard plastic case keep dry together needed awesome price great brand name,2
got gb one filled kept getting insufficient disk space phone kid take phone selfies mostly daughter get bigger card gb one carry old phone needless say sweet plenty space dont delete picture anymore well least daughter love selfies great price fast,2
class speed rating seamless full hd videothe sandisk ultra uhs card feature class uhs speed class u rating highest video performance available recording uninterrupted full hd video flawless app performancethis card retrieve stored data almost instantly thanks mb read capability fast bus interface sandisk ultra microsdhc microsdxc uhs card offer faster app loading smoother fluid app performance storage capacity gbthis card plenty room accommodate full hd video mp apps memory intensive mobile file available size gb store apps music video want android app easy file managementthe included sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place using app easily move file card number cloud storage service durable designsandisk ultra uhs memory card capture memory degree fahrenheit shockproof waterproof x ray proof design mobile device may not survive but sandisk memory card get fast load time,2
read write speed better samsung sd card previously would not hesitate buy another one great micro sd card sandisk also clip plus mp player work well think becoming fan sandisk product good little micro sd card,2
work nl no video stuttering like gb blah blah blah blah fill rest work,2
work expected high transfer speed nice extra microsd adapter lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view image larger screen work,2
work great samsung galaxy formatted straight away full size really tell speed difference one slower card replaced guess io phone take advantage good galaxy,2
sandisk never disappoints always sandisk product worth every penny nice product quality work great recommend product everyone never disappoints,2
good price work flawless samsung normal sandisk quality go brand brand great,2
san disk hard beat pay brand but get quality product would purchase perfect,2
installed blackberry q sqn formatted work fine plenty storage space picture video son park job,2
received card class gb correct serial sdsdqua g received unopened sandisk packaging going use htc rezound hope work read work reformatting disk update review issue using not rating remain unchanged gb,2
stuck formatted setting work great already filled music pic video get card format right no problem phone right got samsung haha perfect fast,2
purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need great product,2
advertised spec match long device using handle e usb not crapple b delivers advertised speed p speed read not write but knew right work,2
item great believe small imagine gb size back whole building full computer pack much space great item great product,2
trying get hold gb micro sd phone tablet pretty fast compared gb card using really saw performance boost phone many apps picture music document phone boot fully stable min apposed min computer also write card much faster gb one using phone tablet device support recommend purchase also pay like half price using amazon opposed retail store price least double seen card going area great micro sd card,2
bought sandisk gb microsd used galaxy note galaxy first one phone started saying removed recognize : diedi thought luck plugged nd one : stayed month died suddenly lost everythingnever buying sandisk ever bought : died,0
memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage excellent product,2
got couple varying size no problem no complaint speed always end buying price low get several size zero issue,2
gig memory note running room much memory space available know great card,2
bought surface pro month no problem fast stable work great,2
would recommend card everyone data transfer speed excellent card galaxy need format card anything satisfied satisfied recommend,2
bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music picture type file pro good quality material construction amazing speedupdate one year memory damaged not delete put new file not format memory tried format phone pc camera nothing like gb cd data memory available read but not move delete bought memory used backup data android device but readable memory not write data hope sandisk make better product future total disagree buy samsung memory card expected better quality stop working year,0
using contout gps camera waste time buying brand waste buy best start crazy fast,2
fantastic little drive gigabyte say work way discern use hold flac recording play excellent fiio x digital audio player real thing not one fake evidently fantastic little drive,2
happy micro sd could tell difference response time bb curve well asus tablet want something transfer file photo video music faster micro sd card say faster card but not price trick device professional photographer might want go ultra micro sd but everyday user work wonder device verry happy,2
purchased several little baby year always buy sandisk never one fail price great amount storage get sandisk quality,2
ordered galaxy lasted month broke not accessible several different pc say limited lifetime warranty b one month eco zone not lose picture but crappy return policy future buying kingston not sandisk update: amazon customer service made good refunded purchase price still not buying sandisk memory card however beware go bad take pic,0
like mb note using sandisk app bit faster note ii but still disappointment device quad core processor not sure card device benefit doubt four star not bad,2
not much say plug play good quality fit lot video good good good good,2
new camcorder required fast sd micro sandisk product always provided first class service extra cost well worth fast fast,2
tiny marvel claim possible problem small may lose happen drop handling but gb capacity handling often small huge capacity,2
job price right came quickly happy purchase would recommend would but work great,2
used month phone decided quit mounting lost picture pet died shortly got replacement card but send old one giving chance recovering content new one worked fine but failing month inexcusable worked month,0
memory card either work always going one star five star review no middle ground adapter nice bonus though think anything use work else,2
purchased card use contourroam work great put card camera format good go allows easily record hour p fps video without running space slowing great microsdhc card,2
upgraded gb gb card galaxy note phone look like work fine full capacity good product work fine galaxy note phone,2
everything great except adapter tight use tool take back adapter causing chip fault guess but also bought gb version adapter one fine great but,2
liked first one purchased much bought second one fast read write speed good price plus sandisk best software device compatibility forget thumb drive flexible durable option use direct tablet smart phone buy decent usb card reader load voila instant super speedy upgradeable thumb drive work great tablet newer card reader still kick butt every thumb drive know even used old plastic usb card reader held together scotch tape lol purchased several microsd card since first came gb gb still work fine cannot say thumb drive purchased time period one point beware counterfeit samsung number one brand unfortunately get counterfeited lot check review buy reliable seller suggest buying direct amazon memory mogul purchased no issue fast reliable compatible buy direct amazon memory mogul avoid counterfeit,2
really say anything bad say super fast great storage size lot movie work advertised no problem whatsoever,2
used phone plenty fast work like unexpectedly come mini full sd card size adapter nice fool proof packaging whatever laughable packaging decent bragged impossible mess messed work like phone,2
standard micro sd card would recommend anyone purchased dad using expand memory tablet shipped fast slight bit cheaper store believe standard micro sd,2
ordered new samsung galaxy note ii work awesome installed no problem loaded music even scratch surface capacity card ever worry running outta room card highly recommended smartphone user awesome micro sd card smartphone,2
great deal much faster file movement definitely worth purchase sandisk proved good product awesome,2
